Model,auroc,auprc,brier,ece,threshold,accuracy,sensitivity,specificity,ppv,npv,f1,tn,fp,fn,tp
stage2_lgbm_24h,0.8849184761846818,0.7695312200396596,0.12752582520770053,0.1424726879399445,0.5,0.8205270812534934,0.7648834152752763,0.8370081209381792,0.5815806275504066,0.923190687467201,0.6607549292221001,232212,45219,19320,62852
stage2_xgb_24h,0.8837106834982313,0.7662804561979328,0.12820550799369812,0.1457070558490414,0.5,0.8220482031573708,0.7585552256243002,0.8408541222862622,0.5853649374553923,0.9216178951402305,0.6608006106352302,233279,44152,19840,62332
